employee_id,first_name,last_name,department,position,manager_id,store_id,salary,commission,hire_date
71,Shane,Wilson,Sales,Salesperson,64,3,32770,0.05,2020-11-10 07:47:01
72,Jillian,West,Sales,Salesperson,64,3,23773,0.05,2019-10-23 17:09:35
73,Rachel,Johnson,Sales,Salesperson,64,3,32006,0.05,2024-11-03 22:14:20
74,Stephanie,Robinson,Sales,Salesperson,64,3,29235,0.05,2019-05-04 11:26:51
75,John,Collins,Sales,Salesperson,64,3,31899,0.05,2020-06-20 22:14:31
76,Cassandra,Johnson,Sales,Salesperson,64,3,23976,0.05,2023-06-07 13:55:57
77,Johnathan,Vincent,Sales,Salesperson,64,3,23481,0.05,2021-05-29 01:32:57
78,Frederick,French,Support,Senior Support Agent,63,3,32190,0.0,2020-08-22 07:15:48
79,Madison,Wells,Support,Support Agent,78,3,19803,0.0,2019-05-02 07:44:58
80,Timothy,Gonzales,Support,Support Agent,78,3,24089,0.0,2022-12-19 19:46:19
81,Victoria,Kennedy,Support,Support Agent,78,3,22951,0.0,2022-11-28 04:47:47
82,Hannah,Meyers,Support,Support Agent,78,3,21209,0.0,2022-11-11 11:29:04
83,Natasha,Reyes,Support,Support Agent,78,3,20907,0.0,2023-06-17 02:09:22
84,Jessica,Pratt,Support,Support Agent,78,3,17964,0.0,2024-09-30 15:51:42
85,Corey,Steele,Support,Support Agent,78,3,16244,0.0,2021-01-10 21:01:45
86,Julie,Shelton,Support,Support Agent,78,3,17013,0.0,2019-10-23 10:44:34
87,Frank,Porter,Support,Support Agent,78,3,24564,0.0,2021-04-24 14:34:42
88,Emily,Dennis,Support,Support Agent,78,3,20496,0.0,2021-07-11 12:27:51
89,Albert,Holmes,Support,Support Agent,78,3,18047,0.0,2019-08-01 09:13:56
90,Christina,Evans,Logistics,Chief of Logistics,63,3,37325,0.0,2021-12-31 04:42:09
91,Frederick,Bell,Logistics,Warehouse Worker,90,3,23719,0.0,2023-01-27 09:17:10
92,Michael,Brown,Logistics,Warehouse Worker,90,3,12846,0.0,2021-07-12 13:01:33
93,Kimberly,Bell,Logistics,Warehouse Worker,90,3,17115,0.0,2019-01-19 23:28:54
94,Mark,Brooks,Logistics,Warehouse Worker,90,3,24134,0.0,2019-03-17 12:44:48
95,Ashley,Guerrero,Logistics,Courier,90,3,19655,0.0,2023-10-17 18:52:28
96,Madison,Foster,Logistics,Courier,90,3,17317,0.0,2024-05-05 17:28:35
97,Michele,Glover,Logistics,Warehouse Worker,90,3,22612,0.0,2022-05-27 18:41:46
98,Cindy,Vasquez,Management,Director,0,4,82045,0.0,2022-05-19 02:15:39
99,Michael,Mcdaniel,Management,Manager,98,4,57732,0.0,2022-10-19 16:43:28
100,Elizabeth,Duke,Sales,Senior Salesperson,99,4,35242,0.07,2023-12-24 10:36:00
101,James,Brennan,Sales,Salesperson,100,4,34753,0.05,2020-01-26 09:27:37
102,Marie,Hull,Sales,Salesperson,100,4,25190,0.05,2019-04-30 03:31:46
103,Mary,Burton,Sales,Salesperson,100,4,31666,0.05,2023-07-30 06:40:01
104,Kenneth,Watkins,Sales,Salesperson,100,4,21236,0.05,2019-09-17 23:35:49
105,Mitchell,Francis,Sales,Salesperson,100,4,32867,0.05,2020-05-18 18:22:08
106,Melissa,Carroll,Sales,Salesperson,100,4,27575,0.05,2022-12-18 01:50:17
107,Debra,Watson,Sales,Salesperson,100,4,24161,0.05,2019-02-12 22:49:04
108,Elizabeth,Ortiz,Sales,Salesperson,100,4,33638,0.05,2020-04-02 09:02:12
109,Mikayla,Hardin,Sales,Salesperson,100,4,29908,0.05,2020-11-28 01:03:42
110,April,Beard,Sales,Salesperson,100,4,34367,0.05,2020-09-05 16:07:03
111,Joshua,Cole,Support,Senior Support Agent,99,4,29907,0.0,2024-09-20 17:22:07
112,Carolyn,White,Support,Support Agent,111,4,17313,0.0,2021-02-28 01:37:06
113,Lisa,Jordan,Support,Support Agent,111,4,17259,0.0,2023-02-22 02:43:15
114,Katherine,Stewart,Support,Support Agent,111,4,16015,0.0,2024-04-21 12:11:40
115,Ashley,Walker,Support,Support Agent,111,4,16418,0.0,2021-09-12 03:03:26
116,Michele,Baker,Support,Support Agent,111,4,24173,0.0,2024-01-06 09:48:46
117,Brandon,Griffith,Support,Support Agent,111,4,24876,0.0,2022-06-12 05:13:17
118,Derek,Benitez,Support,Support Agent,111,4,19773,0.0,2021-01-03 07:51:51
119,Joshua,Thomas,Support,Support Agent,111,4,20696,0.0,2019-04-16 22:55:34
120,Jeffrey,Tucker,Support,Support Agent,111,4,19528,0.0,2019-03-16 18:04:32
121,Amanda,Moore,Support,Support Agent,111,4,20659,0.0,2023-04-08 08:54:49
122,Melissa,Hernandez,Support,Support Agent,111,4,22040,0.0,2023-04-05 19:58:23
123,Richard,Brown,Logistics,Chief of Logistics,99,4,41456,0.0,2021-05-14 03:30:32
124,Amber,Miller,Logistics,Courier,123,4,18859,0.0,2024-01-22 07:23:39
125,Melody,Lynn,Logistics,Courier,123,4,22681,0.0,2020-01-04 23:24:23
126,Matthew,Young,Logistics,Warehouse Worker,123,4,13076,0.0,2019-09-12 10:43:17
127,Kevin,Cannon,Logistics,Warehouse Worker,123,4,13097,0.0,2023-09-16 11:01:55
128,Joseph,Kelly,Logistics,Courier,123,4,26680,0.0,2019-06-03 21:15:53
129,John,Ruiz,Logistics,Courier,123,4,18200,0.0,2020-07-05 01:55:05
130,Jo,Ramirez,Logistics,Courier,123,4,19246,0.0,2020-07-30 09:44:26
131,Holly,Miller,Management,Director,0,5,73752,0.0,2023-08-26 22:23:19
132,Stacey,Johnston,Management,Manager,131,5,59450,0.0,2024-10-01 03:03:12
133,James,Miller,Sales,Senior Salesperson,132,5,32881,0.07,2024-07-22 07:08:25
134,Hannah,Davis,Sales,Salesperson,133,5,27318,0.05,2020-06-26 23:04:43
135,Steven,Morgan,Sales,Salesperson,133,5,27626,0.05,2019-09-27 23:59:11
136,Kristin,Turner,Sales,Salesperson,133,5,25363,0.05,2021-01-02 20:31:22
137,Marcus,Garcia,Sales,Salesperson,133,5,22266,0.05,2024-07-26 02:25:59
138,Lisa,Powell,Sales,Salesperson,133,5,24685,0.05,2024-03-14 14:15:49
139,Stephen,Miller,Sales,Salesperson,133,5,29229,0.05,2019-02-01 12:48:32
140,Philip,Calderon,Sales,Salesperson,133,5,28000,0.05,2021-03-21 18:52:56
141,Lonnie,Higgins,Sales,Salesperson,133,5,30902,0.05,2022-10-16 14:49:26
142,Kimberly,Vasquez,Sales,Salesperson,133,5,30455,0.05,2023-04-17 09:07:25
143,Charles,Bell,Sales,Salesperson,133,5,27969,0.05,2020-05-22 08:08:15
144,Erin,Haas,Sales,Salesperson,133,5,33884,0.05,2023-01-26 15:48:23
145,Scott,Wade,Support,Senior Support Agent,132,5,25495,0.0,2024-10-22 21:11:56
146,Andrew,Rodriguez,Support,Support Agent,145,5,19960,0.0,2021-02-13 03:15:44
147,Ashley,Patel,Support,Support Agent,145,5,15193,0.0,2019-12-13 09:05:38
148,Phillip,Jenkins,Support,Support Agent,145,5,23683,0.0,2024-11-30 23:50:49
149,Samantha,Davis,Support,Support Agent,145,5,15605,0.0,2024-02-13 07:59:44
150,Laurie,Garcia,Support,Support Agent,145,5,18059,0.0,2023-10-31 19:39:50
151,Michaela,Davis,Support,Support Agent,145,5,20570,0.0,2019-11-27 05:12:56
152,Carolyn,Fowler,Support,Support Agent,145,5,22321,0.0,2021-07-24 13:08:42
153,Jamie,Curry,Support,Support Agent,145,5,16961,0.0,2019-12-26 15:18:30
154,Debra,Bauer,Support,Support Agent,145,5,23107,0.0,2024-05-14 23:04:23
155,Joshua,Rios,Support,Support Agent,145,5,23633,0.0,2024-10-22 15:41:04
156,Mark,Marshall,Support,Support Agent,145,5,24003,0.0,2022-02-21 19:49:41
157,Gilbert,Leonard,Support,Support Agent,145,5,16835,0.0,2024-09-13 14:45:50
158,Rebecca,Wilson,Support,Support Agent,145,5,22111,0.0,2020-08-18 15:47:24
159,Joyce,Poole,Support,Support Agent,145,5,21215,0.0,2019-11-09 02:12:30
160,Andrew,Jones,Support,Support Agent,145,5,17384,0.0,2019-11-12 01:46:12
161,Anthony,Ochoa,Logistics,Chief of Logistics,132,5,44891,0.0,2022-04-15 17:03:07
162,Matthew,Brown,Logistics,Warehouse Worker,161,5,23564,0.0,2023-11-11 17:34:05
163,Angela,Brown,Logistics,Courier,161,5,23477,0.0,2024-01-07 13:05:45
164,Diana,Pope,Logistics,Courier,161,5,19430,0.0,2021-04-11 20:39:53
165,Shawn,Martinez,Logistics,Courier,161,5,19497,0.0,2019-06-12 20:45:11
166,Sandy,Gomez,Logistics,Courier,161,5,29649,0.0,2022-06-04 23:19:59
167,Angela,Fry,Logistics,Courier,161,5,19098,0.0,2021-08-29 10:25:54
168,Kevin,Vaughn,Logistics,Warehouse Worker,161,5,15424,0.0,2024-07-26 03:02:21
169,George,Brewer,Logistics,Courier,161,5,29139,0.0,2022-10-11 13:15:28
170,Jennifer,Davis,Logistics,Courier,161,5,17366,0.0,2020-08-21 10:18:26
171,Courtney,Frey,Logistics,Courier,161,5,25853,0.0,2020-05-29 09:54:49
172,Roberto,King,Logistics,Warehouse Worker,161,5,20488,0.0,2022-10-12 11:12:37
173,Kristin,Adams,Logistics,Courier,161,5,15225,0.0,2019-01-01 21:46:29
174,Laura,Wyatt,Management,Director,0,6,99788,0.0,2022-05-16 02:21:49
175,Daniel,Roy,Management,Manager,174,6,46695,0.0,2020-06-06 15:56:18
176,Jacob,Woodard,Sales,Senior Salesperson,175,6,30536,0.07,2021-03-21 08:15:27
177,Craig,Brown,Sales,Salesperson,176,6,28187,0.05,2021-09-25 07:07:12
178,Brenda,Ryan,Sales,Salesperson,176,6,20206,0.05,2024-08-13 23:23:26
179,Cody,Patterson,Sales,Salesperson,176,6,34801,0.05,2023-01-30 02:54:48
180,Anthony,Guzman,Sales,Salesperson,176,6,32996,0.05,2021-09-01 14:06:16
181,Regina,Owens,Sales,Salesperson,176,6,28948,0.05,2019-04-01 21:38:40
182,Colleen,Patterson,Sales,Salesperson,176,6,24806,0.05,2019-02-25 16:11:38
183,Emily,Madden,Sales,Salesperson,176,6,31493,0.05,2021-10-14 02:14:03
184,Sharon,Harris,Sales,Salesperson,176,6,27826,0.05,2020-04-09 07:53:28
185,Matthew,Jenkins,Sales,Salesperson,176,6,30648,0.05,2024-09-24 15:07:01
186,Susan,Hernandez,Sales,Salesperson,176,6,30420,0.05,2020-08-12 23:43:43
187,Michael,Walsh,Support,Senior Support Agent,175,6,28594,0.0,2019-08-21 02:57:29
188,Charles,Smith,Support,Support Agent,187,6,23132,0.0,2019-11-27 19:03:12
189,Erica,Webb,Support,Support Agent,187,6,17128,0.0,2022-02-25 05:17:48
190,Amy,Rice,Support,Support Agent,187,6,19614,0.0,2024-09-21 05:22:49
191,Diana,Smith,Support,Support Agent,187,6,23118,0.0,2021-04-01 15:22:25
192,Brittany,Parsons,Support,Support Agent,187,6,16185,0.0,2019-12-05 08:46:03
193,Karen,Proctor,Support,Support Agent,187,6,21021,0.0,2020-12-23 23:34:45
194,James,Espinoza,Support,Support Agent,187,6,15957,0.0,2022-03-17 07:41:41
195,Dominique,Hopkins,Support,Support Agent,187,6,19666,0.0,2024-12-01 05:54:18
196,Kristen,Farmer,Support,Support Agent,187,6,15964,0.0,2020-08-22 21:36:37
197,Jordan,Ward,Support,Support Agent,187,6,19490,0.0,2023-08-09 23:18:26
198,Jessica,Pollard,Support,Support Agent,187,6,16989,0.0,2023-05-11 02:42:09
199,Christopher,Peters,Support,Support Agent,187,6,21639,0.0,2022-04-05 16:50:37
200,Sierra,Glover,Support,Support Agent,187,6,21774,0.0,2023-02-01 07:34:16
201,Stephanie,Davidson,Support,Support Agent,187,6,22380,0.0,2019-10-08 03:23:38
202,Francisco,Walsh,Logistics,Chief of Logistics,175,6,35128,0.0,2023-07-25 02:40:32
203,Jennifer,Daniels,Logistics,Warehouse Worker,202,6,14642,0.0,2022-01-17 04:38:48
204,Angie,Rodriguez,Logistics,Courier,202,6,22097,0.0,2024-11-07 04:57:31
205,Paul,Soto,Logistics,Warehouse Worker,202,6,13696,0.0,2022-10-13 18:15:09
206,Daniel,Bailey,Logistics,Courier,202,6,22401,0.0,2019-07-16 07:26:59
207,Julia,Avila,Logistics,Courier,202,6,26685,0.0,2019-12-26 10:40:37
208,Stephen,Martin,Logistics,Courier,202,6,29038,0.0,2020-09-12 23:07:46
209,Stephanie,Garcia,Logistics,Warehouse Worker,202,6,18584,0.0,2020-08-19 04:10:14
210,Jennifer,Romero,Logistics,Warehouse Worker,202,6,16004,0.0,2020-08-07 16:40:41
211,Sheila,Barnes,Management,Director,0,7,81394,0.0,2023-05-16 00:21:50
212,John,Robinson,Management,Manager,211,7,59961,0.0,2023-03-19 01:39:59
213,Alan,Taylor,Sales,Senior Salesperson,212,7,33386,0.07,2024-02-18 07:33:34
214,Andre,Taylor,Sales,Salesperson,213,7,21430,0.05,2024-07-25 16:50:56
215,Tammy,Johnson,Sales,Salesperson,213,7,34246,0.05,2019-06-12 23:35:11
216,George,Hill,Sales,Salesperson,213,7,31568,0.05,2022-07-17 14:38:13
217,Victor,Rivera,Sales,Salesperson,213,7,31525,0.05,2022-10-11 01:20:04
218,Eric,Hale,Sales,Salesperson,213,7,28943,0.05,2022-04-01 16:49:40
219,Donna,Haynes,Sales,Salesperson,213,7,32538,0.05,2020-06-12 19:56:09
220,Mitchell,Anderson,Sales,Salesperson,213,7,32146,0.05,2020-04-28 06:04:09
221,Alex,Ross,Sales,Salesperson,213,7,33603,0.05,2021-03-14 12:35:39
222,Mallory,Evans,Sales,Salesperson,213,7,32413,0.05,2022-10-25 17:03:25
223,Stanley,Steele,Sales,Salesperson,213,7,22967,0.05,2019-11-08 10:19:45
224,Danielle,Nelson,Sales,Salesperson,213,7,20130,0.05,2022-10-05 12:14:43
225,Margaret,Sutton,Sales,Salesperson,213,7,30016,0.05,2023-02-01 03:14:39
226,Elizabeth,Thompson,Sales,Salesperson,213,7,26633,0.05,2024-07-18 10:03:21
227,Erin,Russell,Sales,Salesperson,213,7,24317,0.05,2022-01-08 19:53:50
228,Scott,Bryant,Support,Senior Support Agent,212,7,20618,0.0,2019-06-09 00:20:07
229,Dawn,Sellers,Support,Support Agent,228,7,18536,0.0,2020-01-29 17:45:04
230,Michael,Jones,Support,Support Agent,228,7,21965,0.0,2022-10-16 22:26:06
231,Katherine,Johnson,Support,Support Agent,228,7,23969,0.0,2024-08-27 20:20:01
232,Matthew,Gomez,Support,Support Agent,228,7,20758,0.0,2020-06-03 21:48:41
233,Scott,Cooper,Support,Support Agent,228,7,23632,0.0,2019-04-05 23:11:54
234,Kathryn,Vazquez,Support,Support Agent,228,7,22744,0.0,2020-08-07 16:50:08
235,Jason,Harrison,Support,Support Agent,228,7,21988,0.0,2024-10-04 19:10:55
236,Patrick,Gilbert,Logistics,Chief of Logistics,212,7,28129,0.0,2023-06-17 15:44:19
237,Russell,Nicholson,Logistics,Courier,236,7,25850,0.0,2022-10-15 04:11:27
238,Nancy,Murray,Logistics,Courier,236,7,23279,0.0,2021-02-18 04:38:15
239,Katie,Morgan,Logistics,Warehouse Worker,236,7,23543,0.0,2021-05-23 21:05:40
240,Mark,Green,Logistics,Courier,236,7,20093,0.0,2022-07-10 01:26:09
241,Kim,Johnston,Logistics,Courier,236,7,28399,0.0,2020-08-09 02:12:25
242,Susan,Nunez,Logistics,Warehouse Worker,236,7,20109,0.0,2021-09-17 12:37:11
243,Gary,Johnson,Logistics,Courier,236,7,29423,0.0,2022-04-24 08:20:48
244,Shelley,Carter,Logistics,Warehouse Worker,236,7,21306,0.0,2020-04-28 14:21:07
245,Melissa,Vasquez,Logistics,Warehouse Worker,236,7,23622,0.0,2022-05-25 22:44:05
246,Crystal,Martin,Logistics,Warehouse Worker,236,7,17434,0.0,2020-07-24 22:50:24
247,Adrian,Wilson,Management,Director,0,8,70094,0.0,2020-06-16 08:31:48
248,Anthony,Fuentes,Management,Manager,247,8,52700,0.0,2023-08-05 04:55:26
249,Jessica,Montgomery,Sales,Senior Salesperson,248,8,38155,0.07,2022-08-16 16:32:48
250,Christopher,Williams,Sales,Salesperson,249,8,22713,0.05,2023-11-28 11:48:43
251,Cindy,Garcia,Sales,Salesperson,249,8,22217,0.05,2021-05-10 06:01:39
252,Dale,Browning,Sales,Salesperson,249,8,34128,0.05,2021-10-21 23:47:02
253,David,Stanley,Sales,Salesperson,249,8,21469,0.05,2021-01-10 21:17:35
254,Rebecca,Myers,Sales,Salesperson,249,8,28346,0.05,2022-10-06 08:55:04
255,Michele,Brown,Sales,Salesperson,249,8,28885,0.05,2019-05-14 22:00:28
256,Pamela,Parker,Sales,Salesperson,249,8,31804,0.05,2024-11-23 18:33:23
257,Joe,Myers,Sales,Salesperson,249,8,22051,0.05,2020-03-03 17:00:59
258,Melanie,Sharp,Sales,Salesperson,249,8,34273,0.05,2019-12-17 20:39:35
259,Kathryn,Lopez,Sales,Salesperson,249,8,25800,0.05,2021-04-28 09:32:23
260,Jessica,Hernandez,Sales,Salesperson,249,8,20998,0.05,2020-10-30 15:58:12
261,James,Williamson,Support,Senior Support Agent,248,8,32977,0.0,2019-05-22 07:11:12
262,Joseph,Harris,Support,Support Agent,261,8,24183,0.0,2019-12-13 11:58:04
263,Andrew,Velez,Support,Support Agent,261,8,16829,0.0,2019-08-14 13:29:50
264,Charles,Williams,Support,Support Agent,261,8,19279,0.0,2021-09-02 11:03:34
265,Susan,Gamble,Support,Support Agent,261,8,21025,0.0,2020-09-30 13:19:31
266,Steven,Massey,Support,Support Agent,261,8,19013,0.0,2019-03-31 11:18:36
267,Melissa,Dominguez,Support,Support Agent,261,8,15970,0.0,2019-10-12 22:33:01
268,Brian,Simon,Support,Support Agent,261,8,23964,0.0,2023-12-26 23:53:18
269,Carla,White,Support,Support Agent,261,8,16347,0.0,2024-04-09 00:35:16
270,Tony,Rice,Support,Support Agent,261,8,22470,0.0,2019-12-08 20:36:15
271,Linda,Horton,Support,Support Agent,261,8,22107,0.0,2023-09-12 18:45:56
272,Melissa,Bird,Support,Support Agent,261,8,21534,0.0,2020-04-24 23:02:58
273,Sierra,Downs,Logistics,Chief of Logistics,248,8,28765,0.0,2020-06-29 04:59:48
274,Carolyn,Vaughn,Logistics,Courier,273,8,24484,0.0,2020-09-20 11:40:41
275,Katelyn,Meyer,Logistics,Courier,273,8,20988,0.0,2022-07-01 22:43:01
276,Bryan,Wilson,Logistics,Warehouse Worker,273,8,15653,0.0,2020-07-29 17:23:59
277,Yesenia,Roberts,Logistics,Warehouse Worker,273,8,13936,0.0,2024-09-22 23:38:27
278,Caitlin,Mendoza,Logistics,Warehouse Worker,273,8,13175,0.0,2023-05-15 20:57:17
279,Caitlin,Morris,Logistics,Warehouse Worker,273,8,16845,0.0,2021-05-26 21:43:57
280,Caleb,Bray,Logistics,Courier,273,8,17618,0.0,2022-11-23 08:38:01
281,Steven,Monroe,Logistics,Courier,273,8,24027,0.0,2019-06-22 05:54:58
282,Elizabeth,Aguilar,Management,Director,0,9,96277,0.0,2021-08-02 12:59:14
283,Courtney,Orozco,Management,Manager,282,9,56731,0.0,2019-10-17 20:40:23
284,Jonathan,Chen,Sales,Senior Salesperson,283,9,30184,0.07,2024-06-29 21:46:11
285,Jessica,Martinez,Sales,Salesperson,284,9,34166,0.05,2021-09-06 00:20:30
286,Richard,Barnes,Sales,Salesperson,284,9,32636,0.05,2023-01-05 20:35:00
287,Amber,Hayes,Sales,Salesperson,284,9,32169,0.05,2021-07-10 03:48:07
288,Danielle,Cooke,Sales,Salesperson,284,9,20505,0.05,2020-07-22 13:56:31
289,Megan,David,Sales,Salesperson,284,9,31765,0.05,2024-08-24 22:18:23
290,Charles,Harris,Sales,Salesperson,284,9,25733,0.05,2021-01-22 13:34:46
291,Christopher,Murray,Sales,Salesperson,284,9,23289,0.05,2020-10-19 18:40:58
292,Andrea,Walls,Sales,Salesperson,284,9,23183,0.05,2023-07-14 10:42:01
293,Brooke,Nelson,Sales,Salesperson,284,9,25432,0.05,2023-12-04 13:44:38
294,Tiffany,Morris,Sales,Salesperson,284,9,22459,0.05,2023-12-31 21:53:58
295,Brittany,Santos,Sales,Salesperson,284,9,33294,0.05,2022-01-06 00:28:53
296,Jared,Ellis,Sales,Salesperson,284,9,30303,0.05,2022-03-06 19:24:07
297,Joseph,Parks,Sales,Salesperson,284,9,24082,0.05,2019-07-19 00:46:11
298,Peggy,Washington,Sales,Salesperson,284,9,30087,0.05,2022-03-09 09:31:32
299,Allen,Gates,Sales,Salesperson,284,9,22986,0.05,2021-05-18 17:36:02
300,Robert,Wang,Support,Senior Support Agent,283,9,27011,0.0,2019-08-19 08:52:35
301,Renee,Gilbert,Support,Support Agent,300,9,23366,0.0,2024-10-31 22:05:26
302,Brianna,Guzman,Support,Support Agent,300,9,19958,0.0,2020-01-09 23:43:56
303,Julia,Horton,Support,Support Agent,300,9,20621,0.0,2020-09-16 11:33:34
304,Cynthia,Hinton,Support,Support Agent,300,9,24250,0.0,2020-03-01 19:38:28
305,Amanda,Gonzales,Support,Support Agent,300,9,21533,0.0,2024-04-10 14:06:05
306,John,Knight,Support,Support Agent,300,9,19068,0.0,2023-01-07 02:32:34
307,Blake,Duffy,Logistics,Chief of Logistics,283,9,34413,0.0,2023-10-18 08:24:12
