customer_id,first_name,last_name,gender,birth_date,age,age_group,email,phone,address_id,preferences
33,Erin,Brown,Female,1968-04-26,58,51-65,erin.brown@gmail.com,829-444-8612x3132,1571,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
34,Jesus,Russell,Male,2003-08-21,23,18-25,jesus.russell@hotmail.com,+1-261-335-3777x519,4529,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': True, 'vip': False}"
35,Heather,Smith,Female,1947-06-01,79,65+,heather.smith@yahoo.com,(669)215-7269x91409,5240,"{'preferred_categories': {'Groceries': 5, 'Books': 5, 'Home & Kitchen': 4, 'Beauty & Health': 2}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
36,Kristen,Powell,Female,2001-02-16,25,18-25,kristen.powell@yahoo.com,3803115650,2974,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
37,Carl,Jackson,Male,1978-01-31,48,36-50,carl.jackson@gmail.com,+1-424-419-4587x613,5069,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
38,James,Myers,Male,1962-08-12,64,51-65,james.myers@hotmail.com,+1-675-601-6846x994,4258,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
39,Karen,Francis,Female,1998-12-20,28,26-35,karen.francis@gmail.com,+1-824-254-9072x541,2385,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
40,John,Barnett,Male,2005-08-19,21,18-25,john.barnett@hotmail.com,(725)703-1654x9060,4072,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
41,Eileen,King,Female,1996-06-29,30,26-35,eileen.king@hotmail.com,001-419-406-1820,4313,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
42,Sarah,Hall,Female,1993-12-23,33,26-35,sarah.hall@yahoo.com,+1-862-861-3382x553,1315,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
43,Christina,Phelps,Female,1967-05-11,59,51-65,christina.phelps@hotmail.com,708-657-6071,736,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
44,James,Golden,Male,1976-01-31,50,36-50,james.golden@hotmail.com,312.737.5419x51240,1287,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
45,Edward,Higgins,Male,1982-10-01,44,36-50,edward.higgins@gmail.com,567-671-5940,1577,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
46,Lisa,Moore,Female,1995-07-01,31,26-35,lisa.moore@hotmail.com,+1-707-765-0107,5062,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
47,April,Hopkins,Female,1977-10-23,49,36-50,april.hopkins@hotmail.com,867-739-5163x3580,4052,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
48,Ronald,Graham,Male,1983-12-23,43,36-50,ronald.graham@yahoo.com,(748)669-1367x93084,2146,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
49,Teresa,Roberts,Female,2000-06-23,26,18-25,teresa.roberts@gmail.com,2322326155,3684,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
50,Lisa,Brooks,Female,2000-07-28,26,26-35,lisa.brooks@gmail.com,256.850.2113,3876,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': True}"
51,Joseph,Mullins,Male,1987-02-06,39,36-50,joseph.mullins@hotmail.com,(344)386-9769x6222,782,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
52,Cathy,Fleming,Female,1994-03-15,32,26-35,cathy.fleming@hotmail.com,580-396-7720x1985,5328,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
53,Nathaniel,Beltran,Male,1985-11-29,41,36-50,nathaniel.beltran@yahoo.com,+1-596-671-9654x94285,749,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
54,Rose,Smith,Female,2002-07-28,24,18-25,rose.smith@gmail.com,947.404.7251x01688,4723,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
55,Lee,Mcmahon,Male,1974-08-23,52,51-65,lee.mcmahon@gmail.com,(823)566-5205x657,1677,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': True, 'vip': False}"
56,Erica,James,Female,1992-05-06,34,26-35,erica.james@yahoo.com,973.877.1437,2964,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
57,Roger,Santana,Male,1993-12-25,33,26-35,roger.santana@yahoo.com,001-447-632-9500x40105,1775,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
58,Sandra,Wilson,Female,1992-02-06,34,26-35,sandra.wilson@gmail.com,001-478-730-4804x344,1339,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
59,Alexander,Schwartz,Male,1989-06-11,37,36-50,alexander.schwartz@gmail.com,431.930.1424x63596,2011,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
60,Margaret,Garcia,Female,1992-03-08,34,26-35,margaret.garcia@gmail.com,673-953-1447x488,1500,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': True}"
61,Cynthia,Gould,Female,1994-08-10,32,26-35,cynthia.gould@yahoo.com,+1-509-463-2306x8640,2487,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
62,Samantha,Stewart,Female,1983-11-06,43,36-50,samantha.stewart@gmail.com,790-426-7014x474,3423,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': True, 'vip': False}"
63,Vanessa,Jordan,Female,1992-09-05,34,26-35,vanessa.jordan@yahoo.com,001-746-303-0209x287,4191,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
64,Meghan,Nguyen,Female,1972-05-29,54,51-65,meghan.nguyen@hotmail.com,001-569-897-9608x455,4972,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
65,Heather,Lopez,Female,2005-01-08,21,18-25,heather.lopez@hotmail.com,+1-789-948-7629x6351,3077,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
66,Beverly,Olson,Female,1999-12-10,27,26-35,beverly.olson@hotmail.com,001-350-510-9959x421,2104,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': True, 'vip': False}"
67,Stephanie,Howard,Female,1993-05-18,33,26-35,stephanie.howard@hotmail.com,001-520-972-4690,1409,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
68,Connor,Lane,Male,1992-10-08,34,26-35,connor.lane@yahoo.com,+1-878-500-3679x3308,3232,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
69,Luis,Lee,Male,1996-08-09,30,26-35,luis.lee@gmail.com,675-323-4405x171,1046,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
70,Michelle,Smith,Female,1989-04-10,37,36-50,michelle.smith@yahoo.com,+1-807-895-0487x190,4734,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
71,Katherine,Bowman,Female,2007-08-27,19,18-25,katherine.bowman@hotmail.com,(284)800-1059,2944,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
72,Michael,Martin,Male,1999-01-16,27,26-35,michael.martin@yahoo.com,(289)835-0949x057,1364,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
73,Danielle,Hansen,Female,1995-09-27,31,26-35,danielle.hansen@yahoo.com,485-810-1227x44759,5028,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
74,Nancy,Davis,Female,2005-06-29,21,18-25,nancy.davis@gmail.com,(669)738-5351x33918,3613,"{'preferred_categories': {'Electronics': 5, 'Clothing': 4, 'Sports': 4, 'Shoes': 3}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
75,Charles,Torres,Male,1983-01-14,43,36-50,charles.torres@hotmail.com,(206)223-4702x72156,3970,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
76,John,Taylor,Male,1965-03-04,61,51-65,john.taylor@hotmail.com,001-720-432-4809x58517,790,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
77,Calvin,Carrillo,Male,1982-09-30,44,36-50,calvin.carrillo@yahoo.com,001-723-691-5568x56653,5434,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
78,Melinda,Johnson,Female,1962-01-26,64,51-65,melinda.johnson@hotmail.com,892.629.2519,4658,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
79,Daniel,Washington,Male,1995-02-12,31,26-35,daniel.washington@gmail.com,+1-706-912-7912x9181,1115,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
80,Daniel,Mercado,Male,1973-11-07,53,51-65,daniel.mercado@yahoo.com,276.270.4406x45591,507,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': False, 'brand_loyalty': True}, 'newsletter': False, 'vip': False}"
81,Jason,Aguirre,Male,1979-09-01,47,36-50,jason.aguirre@yahoo.com,001-918-556-9815x7999,4212,"{'preferred_categories': {'Toys & Games': 5, 'Electronics': 4, 'Books': 4, 'Automotive': 4}, 'shopping_habits': {'discount_hunter': True, 'online_shopper': True, 'brand_loyalty': True}, 'newsletter': True, 'vip': False}"
82,Brent,Stewart,Male,1997-12-03,29,26-35,brent.stewart@yahoo.com,(430)290-1583x9299,3111,"{'preferred_categories': {'Electronics': 5, 'Toys & Games': 4, 'Clothing': 4, 'Shoes': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
83,Diana,Simpson,Female,1972-07-31,54,51-65,diana.simpson@hotmail.com,483-699-5080x4220,4968,"{'preferred_categories': {'Books': 5, 'Groceries': 5, 'Automotive': 5, 'Furniture': 4}, 'shopping_habits': {'discount_hunter': False, 'online_shopper': True, 'brand_loyalty': False}, 'newsletter': False, 'vip': False}"
